sortType,cost,file,sorted,preProcessTime,sortTime
i,c,C/1,True,0.00021568200000000176,3.7240000000000884e-06
i,c,C/1,True,0,3.6609999999985543e-06
i,c,C/1,True,0,3.928999999999738e-06
i,c,C/1,True,0,3.888000000000502e-06
i,c,C/1,True,0,3.561999999998622e-06
i,c,C/1,True,0,3.6690000000012823e-06
i,c,C/1,True,0,3.6170000000008973e-06
i,c,C/1,True,0,3.440999999999861e-06
i,c,C/1,True,0,3.4150000000031377e-06
i,c,C/1,True,0,3.511999999997184e-06
i,c,C/1,True,0,2.097599999999894e-05
i,c,C/1,True,0,3.315000000000262e-06
i,c,C/1,True,0,3.392000000001366e-06
i,c,C/2,True,0.0003839800000000025,4.397999999999208e-06
i,c,C/2,True,0,4.55300000000089e-06
i,c,C/2,True,0,4.896000000000761e-06
i,c,C/2,True,0,5.535000000000956e-06
i,c,C/2,True,0,8.0050000000019e-06
i,c,C/2,True,0,2.3316999999998395e-05
i,c,C/2,True,0,7.048999999998556e-06
i,c,C/2,True,0,8.069999999998911e-06
i,c,C/2,True,0,4.877999999999827e-06
i,c,C/2,True,0,4.7129999999999395e-06
i,c,C/2,True,0,4.520000000000912e-06
i,c,C/2,True,0,4.546000000001105e-06
i,c,C/2,True,0,4.544999999998162e-06
i,c,C/4,True,0.00045568099999999945,5.1400000000006996e-06
i,c,C/4,True,0,5.2019999999992905e-06
i,c,C/4,True,0,5.37900000000327e-06
i,c,C/4,True,0,5.58100000000103e-06
i,c,C/4,True,0,5.031999999998565e-06
i,c,C/4,True,0,5.425000000003344e-06
i,c,C/4,True,0,5.0220000000003595e-06
i,c,C/4,True,0,4.875000000001406e-06
i,c,C/4,True,0,5.292000000000491e-06
i,c,C/4,True,0,1.5463000000000282e-05
i,c,C/4,True,0,4.600000000000437e-06
i,c,C/4,True,0,5.164000000001945e-06
i,c,C/4,True,0,4.805000000000087e-06
i,c,C/8,True,0.0006784959999999972,6.5639999999971e-06
i,c,C/8,True,0,6.750999999999285e-06
i,c,C/8,True,0,7.305000000002587e-06
i,c,C/8,True,0,7.121999999998296e-06
i,c,C/8,True,0,1.0763999999999913e-05
i,c,C/8,True,0,7.072999999999802e-06
i,c,C/8,True,0,6.868000000000152e-06
i,c,C/8,True,0,6.884999999998143e-06
i,c,C/8,True,0,6.9840000000015445e-06
i,c,C/8,True,0,1.0424000000001932e-05
i,c,C/8,True,0,1.0512000000000715e-05
i,c,C/8,True,0,1.03839999999987e-05
i,c,C/8,True,0,1.0371000000002073e-05
i,c,C/16,True,0.0012750360000000002,8.82800000000239e-06
i,c,C/16,True,0,8.419999999998568e-06
i,c,C/16,True,0,8.578999999998144e-06
i,c,C/16,True,0,8.686000000000804e-06
i,c,C/16,True,0,9.087000000001372e-06
i,c,C/16,True,0,8.440000000001918e-06
i,c,C/16,True,0,8.737000000001716e-06
i,c,C/16,True,0,8.579000000001613e-06
i,c,C/16,True,0,8.28299999999782e-06
i,c,C/16,True,0,8.568999999999938e-06
i,c,C/16,True,0,8.69600000000248e-06
i,c,C/16,True,0,8.398999999999213e-06
i,c,C/16,True,0,8.632999999997476e-06
i,c,C/32,True,0.0022727660000000025,1.1673000000000239e-05
i,c,C/32,True,0,1.1310000000000486e-05
i,c,C/32,True,0,1.2115000000000042e-05
i,c,C/32,True,0,2.7369999999998784e-05
i,c,C/32,True,0,1.1891999999999459e-05
i,c,C/32,True,0,1.1755999999998185e-05
i,c,C/32,True,0,1.1871999999999577e-05
i,c,C/32,True,0,1.237000000000113e-05
i,c,C/32,True,0,1.2117999999998463e-05
i,c,C/32,True,0,1.1986000000002023e-05
i,c,C/32,True,0,1.2042999999999776e-05
i,c,C/32,True,0,1.1930000000000274e-05
i,c,C/32,True,0,1.1773999999999119e-05
i,c,C/64,True,0.004957185999999999,1.8949000000000743e-05
i,c,C/64,True,0,1.9775999999999128e-05
i,c,C/64,True,0,2.0170999999999384e-05
i,c,C/64,True,0,2.0034000000002106e-05
i,c,C/64,True,0,1.7809000000000574e-05
i,c,C/64,True,0,2.0042000000001364e-05
i,c,C/64,True,0,2.0091999999999333e-05
i,c,C/64,True,0,1.999299999999593e-05
i,c,C/64,True,0,1.9893999999999468e-05
i,c,C/64,True,0,1.9679000000001612e-05
i,c,C/64,True,0,2.0196999999999576e-05
i,c,C/64,True,0,2.0178000000002638e-05
i,c,C/64,True,0,2.029600000000298e-05
i,c,C/128,True,0.009003701999999995,5.923099999999987e-05
i,c,C/128,True,0,3.347299999999914e-05
i,c,C/128,True,0,3.282999999999758e-05
i,c,C/128,True,0,3.146299999999547e-05
i,c,C/128,True,0,4.768800000000406e-05
i,c,C/128,True,0,3.253400000000073e-05
i,c,C/128,True,0,3.186199999999362e-05
i,c,C/128,True,0,3.3616999999999675e-05
i,c,C/128,True,0,5.008299999999938e-05
i,c,C/128,True,0,4.9481000000003994e-05
i,c,C/128,True,0,3.211199999999387e-05
i,c,C/128,True,0,3.318800000000344e-05
i,c,C/128,True,0,3.28770000000006e-05
i,c,C/256,True,0.017612453,6.014999999999493e-05
i,c,C/256,True,0,7.71060000000004e-05
i,c,C/256,True,0,9.230600000000033e-05
i,c,C/256,True,0,7.678199999999746e-05
i,c,C/256,True,0,6.198199999999515e-05
i,c,C/256,True,0,6.244299999999536e-05
i,c,C/256,True,0,6.478699999999671e-05
i,c,C/256,True,0,6.788100000000574e-05
i,c,C/256,True,0,6.403699999999596e-05
i,c,C/256,True,0,6.522300000000314e-05
i,c,C/256,True,0,0.00013158000000000614
i,c,C/256,True,0,5.9913000000008654e-05
i,c,C/256,True,0,6.358500000000489e-05
i,c,C/512,True,0.034124695,0.00016217999999999788
i,c,C/512,True,0,0.000153689999999998
i,c,C/512,True,0,0.00014462400000000986
