sortType,cost,file,sorted,preProcessTime,sortTime
m,c,C/1,True,0.0002195270000000006,3.0189999999999384e-06
m,c,C/1,True,0,2.8899999999984494e-06
m,c,C/1,True,0,3.8239999999994945e-06
m,c,C/1,True,0,3.8800000000012436e-06
m,c,C/1,True,0,3.2750000000004997e-06
m,c,C/1,True,0,3.249000000000307e-06
m,c,C/1,True,0,3.201000000001286e-06
m,c,C/1,True,0,3.335999999999617e-06
m,c,C/1,True,0,3.1160000000009236e-06
m,c,C/1,True,0,4.080000000000056e-06
m,c,C/1,True,0,4.0850000000008935e-06
m,c,C/1,True,0,3.908999999999857e-06
m,c,C/1,True,0,3.8940000000008135e-06
m,c,C/2,True,0.0003506439999999972,6.996999999998171e-06
m,c,C/2,True,0,6.0979999999995205e-06
m,c,C/2,True,0,6.795000000000412e-06
m,c,C/2,True,0,6.412000000000778e-06
m,c,C/2,True,0,5.985000000000018e-06
m,c,C/2,True,0,5.6429999999996205e-06
m,c,C/2,True,0,5.306999999999534e-06
m,c,C/2,True,0,5.388000000002002e-06
m,c,C/2,True,0,5.259999999999987e-06
m,c,C/2,True,0,5.246999999999891e-06
m,c,C/2,True,0,5.204000000001707e-06
m,c,C/2,True,0,5.411999999999778e-06
m,c,C/2,True,0,5.141999999999647e-06
m,c,C/4,True,0.0005691079999999987,1.1009999999998799e-05
m,c,C/4,True,0,2.35970000000002e-05
m,c,C/4,True,0,8.72400000000162e-06
m,c,C/4,True,0,9.212999999997501e-06
m,c,C/4,True,0,9.349000000002244e-06
m,c,C/4,True,0,4.1875000000000245e-05
m,c,C/4,True,0,9.378000000000858e-06
m,c,C/4,True,0,1.695399999999958e-05
m,c,C/4,True,0,2.2798000000000956e-05
m,c,C/4,True,0,5.885199999999813e-05
m,c,C/4,True,0,1.0203000000000295e-05
m,c,C/4,True,0,9.888000000003033e-06
m,c,C/4,True,0,1.1370999999999604e-05
m,c,C/8,True,0.0007586730000000014,2.047599999999844e-05
m,c,C/8,True,0,3.448900000000213e-05
m,c,C/8,True,0,5.528599999999814e-05
m,c,C/8,True,0,1.6188999999999787e-05
m,c,C/8,True,0,1.6643999999999687e-05
m,c,C/8,True,0,1.7098000000000113e-05
m,c,C/8,True,0,3.1807999999997755e-05
m,c,C/8,True,0,1.5469000000000593e-05
m,c,C/8,True,0,3.0315999999998983e-05
m,c,C/8,True,0,1.5559999999997798e-05
m,c,C/8,True,0,1.6504000000000518e-05
m,c,C/8,True,0,1.654400000000028e-05
m,c,C/8,True,0,1.5245000000000536e-05
m,c,C/16,True,0.001287016999999998,3.4487999999999186e-05
m,c,C/16,True,0,3.142200000000317e-05
m,c,C/16,True,0,5.107700000000007e-05
m,c,C/16,True,0,3.3022000000000606e-05
m,c,C/16,True,0,5.284199999999739e-05
m,c,C/16,True,0,3.322000000000047e-05
m,c,C/16,True,0,6.73129999999994e-05
m,c,C/16,True,0,3.259900000000121e-05
m,c,C/16,True,0,3.362399999999946e-05
m,c,C/16,True,0,3.2814000000002536e-05
m,c,C/16,True,0,3.507399999999952e-05
m,c,C/16,True,0,3.5369999999999846e-05
m,c,C/16,True,0,4.991600000000054e-05
m,c,C/32,True,0.002374000000000001,0.00011152600000000068
m,c,C/32,True,0,7.32370000000003e-05
m,c,C/32,True,0,7.474799999999948e-05
m,c,C/32,True,0,6.727299999999964e-05
m,c,C/32,True,0,6.87589999999981e-05
m,c,C/32,True,0,6.468299999999941e-05
m,c,C/32,True,0,6.452600000000225e-05
m,c,C/32,True,0,8.758400000000166e-05
m,c,C/32,True,0,0.0001013839999999995
m,c,C/32,True,0,8.458999999999897e-05
m,c,C/32,True,0,8.03640000000029e-05
m,c,C/32,True,0,7.196900000000159e-05
m,c,C/32,True,0,6.820400000000226e-05
m,c,C/64,True,0.004536040999999998,0.00019731900000000135
m,c,C/64,True,0,0.00020793499999999937
m,c,C/64,True,0,0.000155222
m,c,C/64,True,0,0.00023528800000000016
m,c,C/64,True,0,0.00018119399999999564
m,c,C/64,True,0,0.00017890500000000004
m,c,C/64,True,0,0.0001597339999999947
m,c,C/64,True,0,0.00015465399999999713
m,c,C/64,True,0,0.00015392699999999815
m,c,C/64,True,0,0.000178422999999997
m,c,C/64,True,0,0.00015191800000000089
m,c,C/64,True,0,0.0001694740000000028
m,c,C/64,True,0,0.00021247500000000363
m,c,C/128,True,0.009143960999999999,0.00042713199999999674
m,c,C/128,True,0,0.0004468730000000004
m,c,C/128,True,0,0.00034831800000000024
m,c,C/128,True,0,0.00034903099999999965
m,c,C/128,True,0,0.00039593600000000645
m,c,C/128,True,0,0.0003366429999999976
m,c,C/128,True,0,0.0003343609999999983
m,c,C/128,True,0,0.00044846600000000153
m,c,C/128,True,0,0.0002899579999999999
m,c,C/128,True,0,0.0003154510000000013
m,c,C/128,True,0,0.00030759800000000614
m,c,C/128,True,0,0.00029564999999999453
m,c,C/128,True,0,0.00030905299999999664
m,c,C/256,True,0.016836834999999998,0.0007428910000000025
m,c,C/256,True,0,0.0007678480000000015
m,c,C/256,True,0,0.0008956149999999954
m,c,C/256,True,0,0.0007123439999999967
m,c,C/256,True,0,0.0007208339999999966
m,c,C/256,True,0,0.0007572290000000051
m,c,C/256,True,0,0.0007318720000000015
m,c,C/256,True,0,0.0008301629999999949
m,c,C/256,True,0,0.0007184340000000039
m,c,C/256,True,0,0.0006956470000000076
m,c,C/256,True,0,0.0006755339999999915
m,c,C/256,True,0,0.0007217730000000089
m,c,C/256,True,0,0.000711930999999999
m,c,C/512,True,0.033575725,0.0015919880000000025
m,c,C/512,True,0,0.0017130500000000076
m,c,C/512,True,0,0.0018895530000000021
m,c,C/512,True,0,0.0016424970000000066
m,c,C/512,True,0,0.0015926279999999987
m,c,C/512,True,0,0.0017679660000000097
m,c,C/512,True,0,0.001691480000000009
m,c,C/512,True,0,0.0015846850000000023
m,c,C/512,True,0,0.0016535490000000042
m,c,C/512,True,0,0.001708232000000004
m,c,C/512,True,0,0.0018531839999999938
m,c,C/512,True,0,0.001667287999999989
m,c,C/512,True,0,0.001776338999999988
m,c,C/1024,True,0.064410451,0.0034706000000000042
m,c,C/1024,True,0,0.0037885649999999937
m,c,C/1024,True,0,0.0036388999999999866
m,c,C/1024,True,0,0.0036915240000000016
m,c,C/1024,True,0,0.0037803260000000005
m,c,C/1024,True,0,0.0037001649999999775
m,c,C/1024,True,0,0.0035727779999999987
m,c,C/1024,True,0,0.0035981660000000137
m,c,C/1024,True,0,0.003922685000000009
m,c,C/1024,True,0,0.003614721000000015
m,c,C/1024,True,0,0.0037136040000000092
m,c,C/1024,True,0,0.003917052000000004
m,c,C/1024,True,0,0.0034795149999999886
m,c,C/2048,True,0.128139646,0.008105036999999982
m,c,C/2048,True,0,0.007993647999999992
m,c,C/2048,True,0,0.007841976
m,c,C/2048,True,0,0.007981162000000014
m,c,C/2048,True,0,0.007741192000000008
m,c,C/2048,True,0,0.007481844000000015
m,c,C/2048,True,0,0.008140892999999982
m,c,C/2048,True,0,0.007881088999999952
m,c,C/2048,True,0,0.008230055999999986
m,c,C/2048,True,0,0.007893923999999997
m,c,C/2048,True,0,0.009469281999999968
m,c,C/2048,True,0,0.0076788130000000066
m,c,C/2048,True,0,0.008125254999999998
m,c,C/4096,True,0.25219940900000004,0.017196712999999975
m,c,C/4096,True,0,0.017690769999999967
m,c,C/4096,True,0,0.017502287000000005
m,c,C/4096,True,0,0.017520336000000025
m,c,C/4096,True,0,0.017677789
m,c,C/4096,True,0,0.017443170999999924
m,c,C/4096,True,0,0.016783776000000028
m,c,C/4096,True,0,0.017012797999999996
m,c,C/4096,True,0,0.01749694200000007
m,c,C/4096,True,0,0.01792993900000006
m,c,C/4096,True,0,0.016860253000000047
m,c,C/4096,True,0,0.01753950500000001
m,c,C/4096,True,0,0.016808913999999953
m,c,C/8192,True,0.503266459,0.045790923999999955
m,c,C/8192,True,0,0.03709633400000001
m,c,C/8192,True,0,0.03712563300000005
m,c,C/8192,True,0,0.03588424800000001
m,c,C/8192,True,0,0.03772640400000005
m,c,C/8192,True,0,0.036853309000000056
m,c,C/8192,True,0,0.03556103499999996
m,c,C/8192,True,0,0.03695710799999996
m,c,C/8192,True,0,0.03528313899999991
m,c,C/8192,True,0,0.037224182999999966
m,c,C/8192,True,0,0.03755225899999992
m,c,C/8192,True,0,0.03671017599999993
m,c,C/8192,True,0,0.03780114499999998
m,c,C/16384,True,1.002397149,0.074783606
m,c,C/16384,True,0,0.07872966999999997
m,c,C/16384,True,0,0.07792010599999988
m,c,C/16384,True,0,0.07908060299999997
m,c,C/16384,True,0,0.07693994599999998
m,c,C/16384,True,0,0.07428528599999984
m,c,C/16384,True,0,0.07856194699999985
m,c,C/16384,True,0,0.07806095599999985
m,c,C/16384,True,0,0.07994871199999976
m,c,C/16384,True,0,0.0809134170000001
m,c,C/16384,True,0,0.07849705500000015
m,c,C/16384,True,0,0.0747947520000003
m,c,C/16384,True,0,0.07857785900000014
m,c,C/32768,True,2.022783213,0.16724858599999992
m,c,C/32768,True,0,0.1737837820000001
m,c,C/32768,True,0,0.17146881299999972
